step,type,amount,nameOrig,oldbalanceOrg,nameDest,oldbalanceDest,isFraud,isFlaggedFraud
329,CASH_IN,398384.14,C569497255,180677.11,C1505568542,638247.43,0,0
324,PAYMENT,2696.59,C778075966,439398.82,M74623514,0.0,0,0
449,CASH_OUT,57112.75,C374544474,591.0,C802080037,0.0,0,0
349,PAYMENT,42363.26,C1353644158,101578.0,M84384201,0.0,0,0
345,PAYMENT,14545.95,C1125696641,42784.0,M404723207,0.0,0,0
300,CASH_OUT,35636.0,C1081366875,73867.0,C118084789,1125296.19,0,0
163,PAYMENT,17016.65,C1782712417,0.0,M1533661429,0.0,0,0
302,CASH_IN,97680.38,C740247316,25057.0,C1753476224,0.0,0,0
347,TRANSFER,758001.73,C1761864455,0.0,C588743216,1359914.02,0,0
178,PAYMENT,12539.11,C317938447,31076.0,M1691987106,0.0,0,0
177,PAYMENT,19346.85,C409657364,0.0,M301454118,0.0,0,0
400,PAYMENT,10184.19,C1456379704,37821.18,M518658959,0.0,0,0
178,CASH_IN,55672.03,C1479092749,114428.0,C278110204,24848827.69,0,0
22,CASH_IN,178693.2,C664085952,3177532.79,C2092944463,1410081.67,0,0
13,CASH_OUT,30643.79,C91087577,667413.25,C1759193148,372894.49,0,0
158,TRANSFER,419601.99,C1251493701,0.0,C705098650,450033.0,0,0
207,CASH_IN,1395.62,C951711934,9158531.82,C1481276032,89505.81,0,0
394,CASH_OUT,347820.04,C1059104043,206.0,C1086076552,129099.41,0,0
179,CASH_OUT,33628.06,C1065728136,0.0,C1121158226,177435.35,0,0
236,PAYMENT,7458.34,C48602511,0.0,M1419175550,0.0,0,0
9,CASH_OUT,77664.28,C1913048652,0.0,C1321530272,371188.02,0,0
188,CASH_OUT,48141.92,C1348338291,375422.79,C713303447,1809958.75,0,0
163,CASH_OUT,206007.45,C1874163701,20858.0,C1251418867,398633.11,0,0
687,CASH_OUT,197587.72,C848853775,486.0,C1211423694,64056.89,0,0
19,CASH_IN,144771.53,C565488025,16427.0,C970937032,680261.76,0,0
395,TRANSFER,882067.25,C2068449504,0.0,C367761308,20246305.05,0,0
307,CASH_IN,199361.34,C2142847241,31760.0,C1202624884,0.0,0,0
179,CASH_IN,122180.26,C482669668,49620.0,C114910979,2775036.0,0,0
375,CASH_OUT,110339.48,C745952965,0.0,C643119831,1970671.11,0,0
308,CASH_IN,478163.68,C1379863162,669350.57,C334096097,8220066.13,0,0
308,PAYMENT,8003.3,C1356493879,184696.52,M1557452640,0.0,0,0
396,CASH_OUT,28217.26,C1172675837,25734.0,C359993166,28782.98,0,0
17,CASH_OUT,192604.63,C1796974285,193.0,C1206984812,130864.0,0,0
382,PAYMENT,6697.06,C749574268,0.0,M1382669717,0.0,0,0
44,PAYMENT,22460.23,C1459494877,0.0,M60605687,0.0,0,0
254,CASH_OUT,174774.28,C97303784,2006.0,C2030515474,144801.64,0,0
37,PAYMENT,8322.16,C1050423660,0.0,M424084625,0.0,0,0
162,TRANSFER,370089.99,C150306133,172778.0,C1993745946,0.0,0,0
250,PAYMENT,64601.58,C695611489,104600.0,M699893940,0.0,0,0
235,PAYMENT,4786.34,C1445980233,0.0,M435926132,0.0,0,0
596,CASH_OUT,269253.24,C1856153858,0.0,C2077613994,3855317.48,0,0
274,CASH_OUT,420226.28,C710053380,10491.0,C2096501477,43519.19,0,0
403,PAYMENT,15596.72,C419966165,19970.0,M1504367178,0.0,0,0
133,CASH_OUT,171165.26,C1851821808,0.0,C858684357,2464827.01,0,0
12,CASH_IN,178848.65,C1230879726,574618.82,C80702448,3065471.33,0,0
19,CASH_OUT,177176.43,C1035960010,18268.0,C396460819,0.0,0,0
41,CASH_OUT,105494.01,C1746151473,0.0,C1072977997,2367083.81,0,0
375,CASH_OUT,121595.57,C454424067,0.0,C958209807,197634.71,0,0
142,PAYMENT,8106.99,C1171728074,51964.0,M1351858558,0.0,0,0
323,CASH_IN,34489.16,C1018947117,3833205.23,C1551080795,160089.19,0,0
260,CASH_OUT,198369.6,C743575749,50275.0,C550694457,0.0,0,0
305,CASH_OUT,65962.51,C1230870890,510.0,C510102456,294874.15,0,0
273,TRANSFER,538767.84,C1084413509,0.0,C1152456534,2477177.58,0,0
394,CASH_IN,388675.7,C47473281,3428.0,C1617629561,0.0,0,0
185,CASH_IN,63945.51,C1805978967,7373.0,C454097583,0.0,0,0
188,CASH_OUT,77066.36,C1839245222,815542.0,C1591556915,0.0,0,0
203,PAYMENT,6329.81,C753167056,11545.0,M1002493133,0.0,0,0
252,PAYMENT,33910.59,C2142827451,10601.0,M2131232157,0.0,0,0
374,PAYMENT,5162.96,C515805775,96555.98,M1704136083,0.0,0,0
276,PAYMENT,2611.02,C1994664730,7810.09,M219423819,0.0,0,0
279,CASH_OUT,191096.97,C1481392491,0.0,C1676894175,980152.51,0,0
230,PAYMENT,31626.85,C176170164,0.0,M1135501088,0.0,0,0
212,CASH_IN,17828.38,C1174222372,26771907.06,C85345657,21100.92,0,0
137,CASH_OUT,238900.68,C252900185,0.0,C499551444,4601732.54,0,0
304,CASH_IN,267685.84,C423828071,10507442.85,C1293113789,358449.9,0,0
328,CASH_OUT,256148.01,C277342744,756.0,C1280282087,876928.63,0,0
231,CASH_IN,503566.56,C1959381562,9025.0,C809325424,0.0,0,0
233,CASH_OUT,317908.92,C1305400821,24919.0,C1562598969,5060008.89,0,0
327,CASH_OUT,108196.41,C844904845,12452.0,C1646768211,2835535.35,0,0
406,PAYMENT,2194.78,C905518603,15387.0,M129382233,0.0,0,0
14,CASH_OUT,299291.04,C1959860545,19221.0,C2142387063,1075527.08,0,0
395,CASH_IN,301279.55,C714637996,3952703.03,C499829553,333325.76,0,0
227,PAYMENT,47779.12,C1643178274,24657.0,M1808836212,0.0,0,0
134,TRANSFER,1399825.49,C54112934,0.0,C844194994,1513970.91,0,0
688,PAYMENT,9026.16,C2091275323,30552.0,M1524629416,0.0,0,0
228,TRANSFER,908658.64,C1981794265,249359.0,C2121041889,0.0,0,0
178,TRANSFER,626098.72,C923992266,0.0,C453822044,791970.5,0,0
